SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
KLLOE|Macalister/1945|58||no|no|no|cdisc
KLMOL|Macalister/1945|285||no|no|no|minor
KLORG|Macalister/1945|247--249||no|no|no|cdisc
KLQAN|Cuppage/etal/1986|323||no|no|no|minor
KLURL|Macalister/1945|229||no|no|no|minor
KLURL|O'Sullivan/Sheehan/1996|244||no|no|no|cdisc
KLVMO|Macalister/1945|130||no|no|no|cdisc
KLWER|Macalister/1945|110||no|no|no|cdisc
KMERY|Macalister/1949|25||no|yes|no|cdisc
KMICH|Kermode/1907|195-199|yes|no|no|no|sdisc
KMICH|Kermode/1910-1911|437-438|yes|no|yes|no|sdisc
KMICH|Rhys/1899||||||
KMKDR|Cuppage/etal/1986|308--322||yes|yes|yes|sdisc
KNBOY|Macalister/1945|286||no|no|no|minor
KNDJK|Thomas/1994|289, 302, 330||no|no|no|cdisc
KNICK|Macalister/1945|54--55||no|yes|no|cdisc
KNMAH|Manning/1989|7||yes|no|yes|sdisc
KNOUR|Power/etal/1997|314||no|no|no|sdisc
KNWEE|Power/etal/1997|226, 281||no|no|no|cdisc
KRRIS|Thomas/unpub/1997|n/a||no|no|yes|cdisc
KSAGT|Petrie/1878|27||no|no|no|cdisc
LABAN|Power/etal/1997|227, 281||no|no|no|cdisc
LAEL1|Macalister/1945|363||no|no|no|minor
LAEL1|RCAHMW/1960|97--98||yes|no|yes|sdisc
LAEL2|Anon/1877|328||no|no|no|cdisc
LAEL2|RCAHMW/1960|97--98, 110||no|no|no|sdisc
LAEL2|Westwood/1867|342||no|no|no|minor
LAMOG|Macalister/1945|40--41||no|yes|no|cdisc
LANEY|Anon/1925|463--464|no|no|no|no|sdisc
LARON|Forsyth/1996|360--361||no|no|no|sdisc
LBABO|Lewis/1896|140|no|no|no|no|sdisc
LBABO|Skinner/1908|69-70|no|no|no|no|sdisc
LCARF|Macalister/1945|435||no|no|no|minor
LCARF|Okasha/1993| 126|none|no|no|no|minor
LCARF|Thomas/1994|263|none|no|no|no|minor
LCRFN|Davies/1982|35, 68, 157, 162--168, 208||no|no|no|sdisc
LCRFN|RCHAMW/1973|62||no|no|no|other
LCURN|Macalister/1949|97||no|no|no|minor
LCURN|O'Sullivan/Sheehan/1996|316--322||no|no|no|sdisc
LDDTY|Nash-Williams/1950|71||no|no|no|minor
LDDTY|Westwood/1876|60||no|no|no|minor
LDEIL|RCHAMW/1925|156||no|no|no|cdisc
LDEIO|Butler/1979|460--462|yes|no|yes|yes|sdisc
LDEIO|James/1992|74--75|yes|yes|no|no|cdisc
LDEIO|Jenkins/Owen/1983|37--66|no|no|no|no|cdisc
LDEIO|Jones/1994|81--95|inc|no|no|yes|sdisc
LDEIO|Thomas/1994|104--106|no|no|no|yes|minor
LDEWA|Macalister/1949|139--140||no|no|no|minor
LDEWB|Westwood/1879|139||no|no|no|cdisc
LDOUG|CurrArch/1996|73--77||yes|no|yes|sdisc
LDOUG|RCHAMW/1976|62||no|no|no|other
LDOUG|RomillyAllen/1904|247||no|no|no|minor
LDWKE|Treherne/1907|276--280|no|no|no|no|cdisc
LDYFL|Anon/1862|156||no|no|no|other
LDYFL|Anon/1872|384||no|no|no|minor
LDYFL|Westwood/1876|58||no|no|no|minor
LDYSI|RCHAMW/1925|159--60||no|no|no|cdisc
LDYSL|Thomas/WG/1994|412||no|no|no|minor
LEMAN|Macalister/1949|77||no|no|no|minor
LETER|Macalister/1945|232||no|no|no|minor
LETER|Sullivan/Sheehan/1996|245, 380--1||no|no|no|sdisc
LETWE|Sullivan/Sheehan/1996|303--5||no|no|no|sdisc
LFAEL|Nash-Williams/1950|55|no|no|no|no|minor
LFAEL|RCAHMW, 1937|civ, 65|no|no|no|yes|minor
LFAEL|Williams/1980|19-20|no|no|no|no|minor
LFGLN|Anon/1877|337||no|no|no|other
LFGLN|RCAHMW/1960|198--199||yes|yes|no|sdisc
LFIC1|Nash-Williams/1937|68||no|no|no|other
LFIHA|Anon/1878|345|no|no|no|no|minor
LFRN1|Macalister/1945|417||no|no|no|minor
